# metric_direction: higher
iteration	commit	metric	delta	status	description
0	baseline	15.47	0	baseline	initial state
1	c189fbc	15.62	+0.15	KEEP	edge threshold 5% -> 3%
2	b45dc31	16.30	+0.68	KEEP	recency-weighted beat rate (weight=2.0)
3	-	14.87	-1.43	DISCARD	Kelly criterion sizing
4	440aa08	18.05	+1.75	KEEP	recency weight 2.0 -> 3.0
5	-	16.61	-1.44	DISCARD	filter extreme beat rates
6	874ba7d	19.20	+1.15	KEEP	min history 8 -> 6 quarters
7	-	18.60	-0.60	DISCARD	edge threshold 3% -> 2%
8	f29caf2	19.32	+0.12	KEEP	recency weight 3.0 -> 4.0
9	-	19.25	-0.07	DISCARD	market avg 0.75 -> 0.70
10	-	19.32	0	DISCARD	beat includes meet (no effect)
11	-	12.94	-6.38	DISCARD	YES only (no NO bets)
12	-	19.09	-0.23	DISCARD	recency weight 4.0 -> 5.0 (overfit)
13	-	18.44	-0.88	DISCARD	asymmetric NO threshold (2x)
14	-	19.32	0	DISCARD	synthetic discount 5% -> 3% (no effect)
